Colony: Gambia
Year: 1894
Section: FINANCES.
Type: statistics
---
FINANCES.

| Year | Revenue | Expenditure | British Tonnage | Total Tonnage |
|------|---------|-------------|-----------------|---------------|
| 1883 | 28,952  | 23,878      | 93,557          | 161,349       |
| 1884 | 24,958  | 29,482      | 91,146          | 150,791       |
| 1885 | 20,258  | 26,595      | 122,328         | 164,442       |
| 1886 | 14,233  | 23,353      | 108,377         | 136,296       |
| 1887 | 13,453  | 23,920      | 78,900          | 117,436       |
| 1888 | 20,985  | 21,358      | 119,133         | 139,511       |
| 1889 | 26,244  | 20,251      | 128,014         | 198,911       |
| 1890 | 30,573  | 22,758      | 149,968         | 221,686       |
| 1891 | 31,038  | 27,697      | 149,951         | 216,735       |
| 1892 | 30,978  | 28,740      | 151,672         | 217,424       |
