Colony: Gambia
Year: 1896
Section: Exports.
Type: statistics
---

Exports.

| Year | To U.K. | To Colonies | Elsewhere | Total |
|------|---------|-------------|-----------|-------|
|      | £       | £           | £         | £     |
| 1885 | 9,556   | 4,663       | 105,166   | 119,385 |
| 1886 | 18,678  | 3,401       | 57,442    | 79,516 |
| 1887 | 27,790  | 3,706       | 55,497    | 86,993 |
| 1888 | 27,514  | 7,522       | 83,152    | 118,188 |
| 1889 | 16,522  | 857         | 189,955   | 207,364 |
| 1890 | 26,196  | 8,465       | 129,712   | 164,378 |
| 1891 | 37,522  | 6,553       | 185,977   | 200,052 |
| 1892 | 34,130  | 1,681       | 186,436   | 172,197 |
| 1893 | 21,427  | 2,852       | 180,442   | 204,721 |
| 1894 | 24,630  | 3,619       | 120,894   | 149,143 |

Customs revenue in 1893—26,946l.; 1894—19,370l.
