Colony: Gambia
Year: 1896
Section: Imports.
Type: statistics
---
Imports.

| Year | From U.K. | From Colonies | From Elsewhere | Total |
|------|-----------|---------------|----------------|-------|
| 1885 | 35,490    | 26,758        | 35,487         | 97,685 |
| 1886 | 30,272    | 15,614        | 28,857         | 69,243 |
| 1887 | 31,294    | 14,208        | 35,358         | 80,860 |
| 1888 | 53,219    | 17,225        | 82,628         | 103,067|
| 1889 | 91,611    | 27,199        | 71,857         | 190,167|
| 1890 | 75,444    | 22,684        | 45,391         | 143,489|
| 1891 | 84,798    | 80,877        | 45,954         | 161,129|
| 1892 | 83,521    | 81,476        | 54,976         | 169,973|
| 1893 | 82,967    | 27,250        | 56,298         | 166,510|
| 1894 | 72,893    | 20,304        | 87,152         | 130,349|
THE GAMBIA—GIBRALTAR.
