Colony: Gambia
Year: 1896
Section: Postal Statistics.
Type: statistics
---
Postal Statistics.

| Year | Revenue | Expenditure | British Tonnage | Total Tonnage |
|------|---------|-------------|-----------------|--------------|
| 1885 | 20,258  | 26,595      | 122,328         | 164,442      |
| 1886 | 14,283  | 23,358      | 108,977         | 136,296      |
| 1887 | 13,453  | 28,920      | 78,900          | 117,486      |
| 1888 | 20,985  | 21,858      | 119,133         | 198,511      |
| 1889 | 26,244  | 20,251      | 128,014         | 198,911      |
| 1890 | 30,573  | 22,758      | 149,968         | 221,686      |
| 1891 | 30,978  | 27,697      | 149,951         | 216,785      |
| 1892 | 31,898  | 28,740      | 151,672         | 217,424      |
| 1893 | 31,898  | 38,143      | 162,401         | 223,706      |
| 1894 | 25,798  | 51,640      | 183,817         | 229,702      |
