Colony: Gambia
Year: 1905
Section: Postal Statistics, 1903.
Type: statistics
---
Postal Statistics, 1903.

| Year | Revenue | Expenditure | Total |
|------|---------|-------------|-------|
|      | £       | £           | £     |
| 1894 | 23,798  | 31,640      | 183,317|
| 1895 | 26,172  | 25,301      | 151,987|
| 1896 | 39,415  | 27,069      | 164,940|
| 1897 | 46,718  | 29,035      | 225,385|
| 1898 | 46,840  | 30,406      | 210,690|
| 1899 | 49,161  | 29,818      | 198,099|
| 1900 | 43,726  | 48,618      | 220,098|
| 1901 | 51,016  | 51,536      | 188,646|
| 1902 | 55,564  | 67,504      | 249,376|
