Colony: Gambia
Year: 1919
Section: Finances
Type: statistics
---
### Finances

| Year | Revenue | Expenditure | British Tonnage | Total Tonnage |
|------|---------|-------------|-----------------|--------------|
| 1908 | £57,898 | £61,097     | 301,287         | 418,441      |
| 1909 | 72,676  | 56,237      | 338,604         | 495,963      |
| 1910 | 82,880  | 63,301      | 323,880         | 506,914      |
| 1911 | 86,454  | 71,390      | 287,680         | 480,911      |
| 1912 | 96,222  | 81,340      | 361,883         | 583,458      |
| 1913 | 124,995 | 95,210      | 371,419         | 625,132      |
| 1914 | 86,071  | 120,921     | 366,396         | 571,940      |
| 1915 | 92,283  | 89,028      | 317,399         | 530,624      |
| 1916 | 103,075 | 83,218      | 242,706         | 371,676      |
| 1917 | —       | —           | 290,288         | 388,524      |
