Colony: Gambia
Year: 1922
Section: Shipping Entered and Cleared.
Type: statistics
---
**Shipping Entered and Cleared.**

| Year | From U.K. | From Colonies | From Elsewhere | Total |
|------|-----------|---------------|----------------|-------|
| 1911 | £272,501  | £74,513       | £460,104       | £807,118 |
| 1912 | 269,896   | 87,730        | 399,227        | 756,853 |
| 1913 | 387,423   | 94,444        | 609,262        | 1,091,129 |
| 1914 | 254,358   | 78,389        | 355,260        | 688,007 |
| 1915 | 198,329   | 64,316        | 258,507        | 521,151 |
| 1916 | 438,751   | 95,788        | 353,015        | 884,554 |
| 1917 | 529,342   | 234,421       | 227,963        | 991,626 |
| 1918 | 920,320   | 285,771       | 251,923        | 1,458,014 |
| 1919 | 725,508   | 176,638       | 349,175        | 1,260,321 |
| 1920 | 1,769,946 | 301,622       | 650,312        | 2,711,880 |
