Colony: Gambia
Year: 1927
Section: **EXPORTS.**
Type: statistics
---
**EXPORTS.**

| Year | To U.K. | Colonies | Elsewhere | Total |
|------|---------|----------|-----------|-------|
| 1916 | £354,268 | £66,386  | £284,893  | £705,547 |
| 1917 | 765,380  | 85,978   | 195,146   | 1,046,604 |
| 1918 | 828,357  | 225,691  | 46,162    | 1,100,210 |
| 1919 | 1,124,675| 328,812  | 100,037   | 1,553,524 |
| 1920 | 1,961,178| 22,587   | 482,380   | 2,466,145 |
| 1921 | 607,977  | 11,081   | 174,377   | 793,435 |
| 1922 | 615,818  | 6,291    | 414,899   | 1,037,008 |
| 1923 | 440,868  | 6,160    | 452,391   | 899,509 |
| 1924 | 484,347  | 106,180  | 411,803   | 1,002,330 |
| 1925 | 329,738  | 6,265    | 391,812   | 727,815 |

Customs revenue in 1923—£164,170; 1924—£133,425; 1925—£111,470.
