Colony: Gambia
Year: 1928
Section: IMPORTS.
Type: statistics
---
IMPORTS.

| Year | From U.K. | From Colonies | Elsewhere | Total |
|------|-----------|---------------|-----------|-------|
| 1917 | £529,342   | £234,421      | £227,863  | £991,626 |
| 1918 | 990,320    | 285,771       | 251,923   | 1,528,014 |
| 1919 | 725,508    | 175,638       | 349,175   | 1,250,321 |
| 1920 | 1,759,946  | 301,622       | 630,312   | 2,711,880 |
| 1921 | 580,237    | 146,521       | 197,690   | 924,448   |
| 1922 | 549,463    | 126,301       | 186,351   | 862,115   |
| 1923 | 444,329    | 109,791       | 259,778   | 813,898   |
| 1924 | 280,509    | 83,937        | 307,572   | 672,018   |
| 1925 | 256,773    | 78,556        | 282,494   | 617,823   |
| 1926 | 288,800    | 103,010       | 264,497   | 656,307   |
