Colony: Gambia
Year: 1930
Section: Imports.
Type: statistics
---
**Imports.**

| Year | From U.K. | From Colonies | From Elsewhere | Total |
|------|-----------|---------------|----------------|-------|
| 1919 | £275,508  | £175,638      | £349,175       | £1,250,321 |
| 1920 | 1,759,946 | 301,622       | 650,312        | 2,711,880 |
| 1921 | 580,237   | 146,521       | 197,690        | 924,448  |
| 1922 | 549,463   | 126,301       | 196,351        | 862,115  |
| 1923 | 444,329   | 109,791       | 259,778        | 813,898  |
| 1924 | 280,509   | 83,937        | 307,572        | 672,018  |
| 1925 | 256,773   | 78,586        | 282,494        | 617,823  |
| 1926 | 288,800   | 103,010       | 264,497        | 656,307  |
| 1927 | 415,142   | 111,819       | 429,780        | 956,741  |
| 1928 | 563,969   | 128,163       | 543,541        | 1,235,663 |
