Colony: Gambia
Year: 1933
Section: ### IMPORTS.
Type: statistics
---
### IMPORTS.

| Year | From U.K. | Colonies | Elsewhere | Total |
|------|-----------|----------|-----------|-------|
| 1922 | £549,463  | £126,301 | £186,361  | £862,115 |
| 1923 | 444,329   | 109,791  | 259,778   | 813,898 |
| 1924 | 290,509   | 83,937   | 307,572   | 672,018 |
| 1925 | 256,773   | 78,556   | 283,494   | 617,823 |
| 1926 | 288,800   | 103,010  | 264,497   | 656,307 |
| 1927 | 415,142   | 111,819  | 429,780   | 956,741 |
| 1928 | 563,969   | 128,153  | 643,641   | 1,235,663 |
| 1929 | 206,274   | 63,842   | 347,736   | 617,852 |
| 1930 | 182,262   | 63,277   | 297,221   | 542,760 |
| 1931 | 94,615    | 36,171   | 121,827   | 252,613 |

(Specie £23,302 included.)
