Colony: Gambia
Year: 1933
Section: ## THE GAMBIA.
Type: statistics
---
## THE GAMBIA.

### FINANCES.

| Year | Revenue | Expenditure | British Tonnage | Total Tonnage |
|------|---------|-------------|-----------------|---------------|
| 1922 | £243,603 | £430,312    | 556,283         | 836,663       |
| 1923 | 229,888  | 211,316     | 593,772         | 1,062,982     |
| 1924 | 208,613  | 203,635     | 643,796         | 1,100,729     |
| 1925 | 189,066  | 271,836     | 712,052         | 1,097,642     |
| 1926 | 214,181  | 213,843     | 771,971         | 1,255,241     |
| 1927 | 252,419  | 277,625     | 821,957         | 1,287,018     |
| 1928 | 226,385  | 250,596     | 828,926         | 1,292,997     |
| 1929 | 236,266  | 289,506     | 869,626         | 1,280,888     |
| 1930 | 216,739  | 263,228     | 763,394         | 1,239,151     |
| 1931 | 184,825  | 227,488     | 590,710         | 1,068,700     |
