Colony: Gambia
Year: 1936
Section: **FINANCES.**
Type: statistics
---
**FINANCES.**

| Year | Revenue | Expenditure | British Tonnage | Total Tonnage |
|------|---------|-------------|-----------------|---------------|
| 1925 | £189,086 | £271,836    | £712,052        | £1,097,642    |
| 1926 | 214,181  | 213,643     | 771,971         | 1,255,241     |
| 1927 | 252,419  | 277,625     | 821,957         | 1,287,018     |
| 1928 | 225,385  | 250,596     | 828,926         | 1,292,397     |
| 1929 | 235,266  | 289,506     | 869,626         | 1,280,888     |
| 1930 | 216,739  | 253,228     | 768,394         | 1,239,151     |
| 1931 | 184,825  | 227,488     | 590,710         | 1,065,700     |
| 1932 | 206,133  | 196,015     | 629,320         | 926,023       |
| 1933 | 231,787  | 180,161     | 576,148         | 1,016,384     |
| 1934 | 221,564  | 174,663     | 661,377         | 1,240,731     |
