Colony: Gambia
Year: 1936
Section: **IMPORTS.**
Type: statistics
---
**IMPORTS.**

| Year | From U.K. | From Colonies | Elsewhere | Total |
|------|-----------|---------------|-----------|-------|
| 1925 | £256,773  | £78,556       | £282,494  | £617,823 |
| 1926 | 288,800   | 103,010       | 264,497   | 656,307 |
| 1927 | 415,142   | 111,819       | 429,780   | 956,741 |
| 1928 | 563,969   | 128,153       | 643,541   | 1,235,663 |
| 1929 | 206,274   | 63,842        | 347,736   | 617,852 |
| 1930 | 182,262   | 63,277        | 297,291   | 542,760 |
| 1931 | 94,615    | 36,171        | 121,827   | 252,613 |
| 1932 | 149,949   | 44,111        | 103,781   | 297,841 |
| 1933 | 229,868   | 72,631        | 147,369   | 449,868 |
| 1934 | 138,997   | 72,796        | 118,708   | 330,501 |

(Specie £4,326 included.)
