Colony: Gambia
Year: 1940
Section: SHIPPING ENTERED AND CLEARED.
Type: statistics
---
**SHIPPING ENTERED AND CLEARED.**

| Year | From U.K. | From Colonies | Elsewhere | Total |
|------|-----------|---------------|-----------|-------|
| 1929 | £205,543  | £63,842       | £327,776  | £597,161 |
| 1930 | 182,262   | 58,877        | 288,846   | 529,985 |
| 1931 | 94,449    | 36,171        | 119,691   | 250,311 |
| 1932 | 149,323   | 44,111        | 99,266    | 292,700 |
| 1933 | 219,431   | 72,631        | 143,840   | 435,902 |
| 1934 | 139,403   | 72,796        | 114,986   | 327,185 |
| 1935 | 223,668   | 131,978       | 127,441   | 482,087 |
| 1936 | 312,128   | 134,777       | 135,362   | 582,267 |
| 1937 | 322,671   | 201,439       | 181,055   | 705,165 |
| 1938 | 126,990   | 53,794        | 96,656    | 277,440 |

(Excluding specie.)
