Colony: Sierra Leone
Year: 1894
Section: **FINANCES.**
Type: statistics
---
**FINANCES.**

| Year | Revenue | Expenditure | British Tonnage | Total Tonnage |
|------|---------|-------------|-----------------|---------------|
| 1883 | 62,413  | 78,216      | 330,006         | 387,292       |
| 1884 | 73,096  | 82,259      | 337,517         | 382,825       |
| 1885 | 64,751  | 67,917      | 379,465         | 434,163       |
| 1886 | 58,407  | 58,982      | 889,258         | 436,070       |
| 1887 | 60,637  | 58,334      | 327,034         | 360,637       |
| 1888 | 63,085  | 63,288      | 450,380         | 517,681       |
| 1889 | 70,836  | 66,771      | 496,899         | 589,171       |
| 1890 | 78,708  | 58,056      | 543,910         | 679,509       |
| 1891 | 89,869  | 77,965      | 634,551         | 842,523       |
| 1892 | 86,866  | 83,852      | 589,671         | 800,695       |
