Colony: Sierra Leone
Year: 1898
Section: FINANCES.
Type: statistics
---
FINANCES.

| Year | Revenue | Expenditure | Tonnage | Total |
|------|---------|-------------|---------|-------|
| 1887 | £60,637 | £58,334     | 327,034 | 360,637 |
| 1888 | 63,055  | 63,288      | 450,380 | 517,681 |
| 1890 | 70,836  | 66,771      | 496,899 | 589,171 |
| 1890 | 73,708  | 63,056      | 543,910 | 679,509 |
| 1891 | 89,869  | 77,965      | 634,551 | 842,523 |
| 1892 | 86,866  | 83,852      | 589,671 | 800,695 |
| 1893 | 92,759  | 84,691      | 574,581 | 746,512 |
| 1894 | 98,838  | 93,100      | 828,718 | 962,046 |
| 1895 | 97,852  | 100,248     | 780,697 | 1,021,870 |
| 1896 | —       | —           | 805,684 | 1,076,260 |
