Colony: Sierra Leone
Year: 1898
Section: IMPORTS.
Type: statistics
---

IMPORTS.

| Year | From U.K. | From Colonies | From Elsewhere | Total |
|------|-----------|---------------|----------------|-------|
| 1887 | 247,764   | 1,923         | 58,351         | 308,038 |
| 1888 | 190,529   | 1,211         | 58,407         | 250,147 |
| 1890 | 210,800   | 1,110         | 65,871         | 277,781 |
| 1891 | 295,012   | 1,627         | 93,269         | 389,908 |
| 1892 | 345,031   | 2,145         | 106,202        | 453,378 |
| 1893 | 332,198   | 4,814         | 76,105         | 413,117 |
| 1894 | 325,829   | 5,543         | 86,094         | 417,466 |
| 1895 | 381,248   | 11,012        | 85,764         | 478,024 |
| 1896 | 336,414   | 5,754         | 85,169         | 427,337 |
|      | 403,053   | 12,432        | 79,183         | 494,688 |
