Colony: Sierra Leone
Year: 1900
Section: FINANCES.
Type: statistics
---
FINANCES.

| Year | Revenue | Expenditure | British Tonnage | Total |
|------|--------|-------------|-----------------|-------|
| 1889 | £70,836 | £66,771     | 496,899         | 589,171 |
| 1890 | 73,708  | 53,056      | 543,910         | 679,509 |
| 1891 | 89,869  | 77,965      | 634,551         | 842,528 |
| 1892 | 86,866  | 83,852      | 589,671         | 800,695 |
| 1893 | 92,769  | 84,691      | 574,581         | 746,512 |
| 1894 | 98,838  | 93,100      | 828,718         | 962,046 |
| 1895 | 97,852  | 100,248     | 780,697         | 1,021,870 |
| 1896 | —       | —           | 805,684         | 1,076,260 |
| 1897 | 106,009 | 111,678     | 835,538         | 1,084,745 |
| 1898 | 117,681 | 121,112     | 863,327         | 1,110,228 |
