Colony: Sierra Leone
Year: 1909
Section: ### Imports
Type: statistics
---
### Imports

| Year | From U.K. | From Colonies | From Elsewhere | Total |
|------|-----------|---------------|----------------|-------|
| 1898 | 512,098   | 12,732        | 81,517         | 606,348|
| 1899 | 544,587   | 19,596        | 125,624        | 689,806|
| 1900 | 425,245   | 13,211        | 119,814        | 558,271|
| 1901 | 411,578   | 10,857        | 125,851        | 548,286|
| 1902 | 455,922   | 21,894        | 148,120        | 625,935|
| 1903 | 514,970   | 36,658        | 146,199        | 700,827|
| 1904 | 495,597   | 50,340        | 171,299        | 717,336|
| 1905 | 520,144   | 27,418        | 156,087        | 702,649|
| 1906 | 657,661   | 24,254        | 203,936        | 885,851|
| 1907 | 708,765   | 22,745        | 256,512        | 988,022|
