Colony: Sierra Leone
Year: 1939
Section: **Exports**
Type: statistics
---
**Exports**

| Year | To U.K. | To other B.W.A. Colonies | To Elsewhere | Total |
|------|---------|--------------------------|--------------|-------|
|      | £       | £                        | £            | £     |
| 1928 | 539,488 | 271,919                  | 1,017,686    | 1,829,093 |
| 1929 | 531,017 | 224,319                  | 776,901      | 1,532,237 |
| 1930 | 337,376 | 192,233                  | 686,437      | 1,216,046 |
| 1931 | 450,423 | 60,626                   | 412,564      | 923,613  |
| 1932 | 370,856 | 55,160                   | 507,267      | 933,273  |
| 1933 | 434,700 | 52,515                   | 296,578      | 783,943  |
| 1934 | 679,163 | 31,490                   | 301,222      | 1,011,875 |
| 1935 | 1,078,923| 48,822                  | 436,089      | 1,583,834 |
| 1936 | 1,469,276| 175,847                 | 731,842      | 2,376,965 |
| 1937 | 1,964,006| 61,358                  | 818,176      | 2,843,540 |

*Customs Revenue, 1935, 441,960l.; 1936, 491,694l.; 1937, 531,550l.*
