Colony: Sierra Leone
Year: 1948
Section: Public Revenue, Expenditure and Public Debt
Type: statistics
---
## Public Revenue, Expenditure and Public Debt

| Year | Revenue (£) | Expenditure (£) | Public Debt (£) |
|------|------------|-----------------|----------------|
| 1936 | 969,668    | 879,370         | 1,718,258      |
| 1937 | 1,025,709  | 919,266         | 2,056,358      |
| 1938 | 886,149    | 910,077         | 1,588,982      |
| 1939 | 1,131,357  | 1,165,062       | 1,288,258      |
| 1940 | 1,139,131  | 951,999         | 1,288,258      |
| 1941 | 1,281,666  | 1,109,258       | 1,288,258      |
| 1942 | 1,478,163  | 1,340,418       | 1,288,258      |
| 1943 | 1,747,838  | 1,588,008       | 1,369,683      |
| 1944 | 1,885,090  | 1,684,310       | 1,369,683      |
| 1945 | 1,841,960  | 1,911,958       | 1,369,684      |
| 1946 | 2,195,474  | 1,833,483       | 1,418,841      |
