Colony: Sierra Leone
Year: 1950
Section: IMPORTS
Type: statistics
---

| Year | From U.K. | From other B.W.A. Colonies | From Elsewhere | Total |
|------|-----------|-----------------------------|----------------|-------|
| 1939 | 1,235,395 | 15,693                      | 415,802        | 1,666,890 |
| 1940 | 1,865,826 | 79,615                      | 557,190        | 2,502,631 |
| 1941 | 2,450,181 | 420,266                     | 943,944        | 3,814,391 |
| 1942 | 2,789,254 | 820,960                     | 1,344,560      | 4,954,774 |
| 1943 | 4,144,513 | 86,126                      | 1,996,461      | 6,227,100 |
| 1944 | 3,010,536 | 102,575                     | 2,371,092      | 5,484,203 |
| 1945 | 2,105,683 | 197,707                     | 1,414,772      | 3,718,162 |
| 1946 | 2,394,964 | 149,294                     | 1,417,126      | 3,961,384 |
| 1947 | 2,134,680 | 148,608                     | 2,308,634      | 4,586,922 |
| 1948 | 3,230,505 | 122,524                     | 1,626,321      | 4,979,350 |
